scene,tag,tier,frames,random_psnr,random_ssim,random_lpips,sfm_psnr,sfm_ssim,sfm_lpips,rami_strict_psnr,rami_strict_ssim,rami_strict_lpips,lidar_strict_psnr,lidar_strict_ssim,lidar_strict_lpips
DarkLobby-1,ndarklob1,dark,359,25.17,0.7982,0.584,27.04,0.8237,0.5121,26.86,0.8232,0.511,26.99,0.8265,0.5039
DarkCorr,ndarkzou,dark,300,27.74,0.8026,0.5396,27.68,0.7957,0.5441,27.52,0.7949,0.5459,27.78,0.7987,0.5446
DarkHall,nhall2,dark,180,26.40,0.7776,0.5537,25.71,0.7639,0.5698,26.59,0.783,0.5531,25.84,0.7673,0.5634
DarkLobby-2,ndarklob2,dark,359,24.21,0.7983,0.6069,28.15,0.8272,0.5403,28.09,0.8232,0.5468,28.30,0.8272,0.5347
Corridor-A,n0630c,dim,358,24.79,0.6795,0.5932,28.41,0.8365,0.524,28.13,0.8354,0.5281,28.47,0.8377,0.5208
Lounge-A,n2F,dim,720,21.39,0.7291,0.6115,23.38,0.753,0.5877,23.11,0.7499,0.5935,23.27,,
Dim-C,n0703c,dim,141,17.54,0.626,0.6913,18.26,0.6357,0.6783,18.19,0.6321,0.6764,18.44,0.6382,0.6739
Hall-F,nhall,dim,181,18.91,0.7279,0.5344,17.90,0.7146,0.5576,18.88,0.7245,0.5289,19.23,,
Hall-C,n1Fhall,dim,181,22.82,0.7731,0.4745,24.16,0.7894,0.443,23.82,0.7865,0.4482,24.07,,
Dim-B,n0703b,dim,196,21.15,0.7011,0.6429,21.39,0.707,0.6366,22.05,0.7086,0.6242,22.05,,
Lounge-B,nyizi,dim,181,17.37,0.711,0.5677,18.00,0.7137,0.5663,18.20,0.7204,0.5466,17.57,,
Hall-B,A409hall1,dim,300,25.20,0.7768,0.6001,26.58,0.788,0.5925,26.58,0.7868,0.5897,26.38,0.7867,0.5897
Room-A,F2room,dim,180,18.86,0.695,0.5665,18.74,0.6924,0.5703,19.81,0.7035,0.5524,19.91,0.7132,0.5464
Dim-A,n0703a,dim,95,23.31,0.7008,0.5431,24.73,0.723,0.4986,23.93,0.7144,0.5263,24.35,0.7205,0.5332
Hall-E,nF2hall,dim,180,21.53,0.7771,0.5336,22.10,0.7925,0.5242,22.32,0.7942,0.5247,22.45,,
Dim-D,n0630d,bright,358,23.30,0.7684,0.6148,24.89,0.7873,0.5651,24.61,0.7873,0.5688,24.90,,
Hall-D,nA409h2,bright,298,28.02,0.8631,0.4491,28.46,0.8661,0.447,28.21,0.8637,0.4517,27.55,,
Hall-A,F2hall2,bright,180,18.73,0.6343,0.6066,19.06,0.6438,0.5876,19.25,0.6403,0.5879,19.26,0.6439,0.58
Office-C,dark401a,bright,180,22.61,0.8004,0.364,22.39,0.798,0.3696,23.66,0.81,0.3475,23.51,0.808,0.3501
Elev-B,nF4dianti,bright,181,20.67,0.7678,0.5811,21.12,0.7709,0.5779,20.91,0.77,0.5703,22.66,,
Office-B,n0630b,bright,359,23.54,0.7914,0.5886,26.51,0.82,0.5117,26.21,0.8187,0.5106,26.67,,
Office-A,n0630a,bright,359,26.01,0.8871,0.3606,27.73,0.895,0.3417,27.71,0.8951,0.3416,27.77,,
Elev-A,nF2dianti,bright,120,28.02,0.8356,0.428,28.70,0.8388,0.4212,28.16,0.8424,0.417,28.86,,
